Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
47,Buffalo,"Buffalo, New York",1907,2026,57,1418,713,705,.503,-4.91,-2.35,1,5,4,4,0,0
48,Butler,"Indianapolis, Indiana",1897,2026,128,2963,1706,1257,.576,2.35,3.63,8,13,7,16,2,0
49,Cal Poly,"San Luis Obispo, California",1995,2026,32,950,356,594,.375,-7.14,-1.71,0,1,1,1,0,0
50,Cal State Bakersfield,"Bakersfield, California",2008,2026,19,588,250,338,.425,-5.59,-2.71,0,1,1,1,0,0
51,Cal State Fullerton,"Fullerton, California",1975,2026,52,1523,720,803,.473,-2.25,-0.39,0,2,4,4,0,0
52,Cal State Los Angeles Golden Eagles,"Los Angeles, California",1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
53,Cal State Northridge,"Northridge, California",1991,2026,36,1082,468,614,.433,-5.48,-1.94,0,3,2,2,0,0
54,California,"Berkeley, California",1908,2026,117,3025,1707,1318,.564,6.90,6.21,5,14,0,19,3,1
55,California Baptist,"Riverside, California",2019,2026,8,249,142,107,.570,-1.92,-3.42,0,0,0,0,0,0
56,Campbell,"Buies Creek, North Carolina",1978,2026,49,1432,612,820,.427,-11.77,-6.84,0,2,1,1,0,0
57,Canisius,"Buffalo, New York",1904,2026,122,2775,1374,1401,.495,-4.28,-1.98,1,8,1,4,0,0
58,Canterbury College,"Danville, Indiana",1931,1931,1,19,19,0,1.000,,,0,0,0,0,0,0
59,Carleton Knights,"Northfield, Minnesota",1910,1934,25,360,280,80,.778,,,0,0,0,0,0,0
60,Carnegie Mellon Tartans,"Pittsburgh, Pennsylvania",1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
61,Case Western Reserve Spartans,"Cleveland, Ohio",1898,1955,13,245,95,150,.388,-18.31,-2.69,0,0,0,0,0,0
62,Catholic Cardinals,"Washington, D.C.",1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
63,Centenary (LA) Gents,"Shreveport, Louisiana",1960,2011,52,1435,637,798,.444,-8.73,-3.97,1,1,1,0,0,0
64,Central Arkansas,"Conway, Arkansas",2007,2026,20,609,201,408,.330,-13.60,-4.58,0,1,0,0,0,0
65,Central Connecticut State,"New Britain, Connecticut",1987,2026,40,1170,481,689,.411,-12.57,-7.85,0,5,3,3,0,0
66,Central Michigan,"Mount Pleasant, Michigan",1974,2026,53,1535,668,867,.435,-4.48,-0.67,0,8,2,4,0,0
67,Central Missouri Mules,"Warrensburg, Missouri",1913,1937,10,178,140,38,.787,,,0,0,0,0,0,0
68,Central Pennsylvania College Knights,"Summerdale, Pennsylvania",1896,1900,4,6,2,4,.333,,,0,0,0,0,0,0
69,Centre (KY) Colonels,"Danville, Kentucky",1910,1919,3,45,41,4,.911,,,0,0,0,0,0,0
70,Charleston Southern,"Charleston, South Carolina",1975,2026,52,1500,604,896,.403,-13.10,-6.87,0,4,4,1,0,0
71,Charlotte,"Charlotte, North Carolina",1973,2026,54,1618,878,740,.543,2.95,1.82,2,6,5,11,1,0
72,Chattanooga,"Chattanooga, Tennessee",1978,2026,49,1524,921,603,.604,-2.31,-3.60,1,21,12,12,0,0
73,Cheyenne Business College,"Cheyenne, Wyoming",1903,1903,1,1,1,0,1.000,,,0,0,0,0,0,0
74,Chicago Maroons,"Chicago, Illinois",1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
75,Chicago State,"Chicago, Illinois",1985,2026,42,1220,315,905,.258,-15.69,-2.33,0,0,1,0,0,0
76,Cincinnati,"Cincinnati, Ohio",1902,2026,125,3058,1947,1111,.637,11.67,5.22,25,25,12,33,6,2
77,City College of New York Beavers,"New York, New York",1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
78,Clemson,"Clemson, South Carolina",1912,2026,115,2862,1478,1382,.517,6.08,4.50,8,1,1,15,0,0
79,Cleveland State,"Cleveland, Ohio",1973,2026,54,1609,808,801,.502,-3.60,-1.91,0,6,3,3,0,0
80,Coastal Carolina,"Conway, South Carolina",1987,2026,40,1209,606,603,.501,-7.94,-5.96,0,7,5,4,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
81,Colgate,"Hamilton, New York",1901,2026,126,2904,1426,1478,.491,-10.07,-5.66,0,9,7,7,0,0
82,College of Charleston,"Charleston, South Carolina",1992,2026,35,1094,755,339,.690,1.10,-3.92,2,15,6,7,0,0
83,College of New Jersey Lions,"Ewing, New Jersey",1900,1900,1,5,3,2,.600,,,0,0,0,0,0,0
84,Colorado,"Boulder, Colorado",1902,2026,123,2765,1458,1307,.527,5.69,6.19,6,19,1,16,2,0
85,Colorado College Tigers,"Colorado Springs, Colorado",1915,1937,23,376,233,143,.620,,,0,7,0,0,0,0
86,Colorado School of Mines Orediggers,"Golden, Colorado",1908,1937,28,280,78,202,.279,,,0,2,0,0,0,0
87,Colorado State,"Fort Collins, Colorado",1902,2026,122,2767,1418,1349,.512,3.31,2.59,1,6,2,13,0,0
88,Columbia,"New York, New York",1901,2026,125,2785,1360,1425,.488,-7.81,-5.08,2,13,0,3,0,0
89,Concordia Seminary Preachers,"St. Louis, Missouri",1907,1923,2,16,14,2,.875,,,0,0,0,0,0,0
90,Connecticut,"Storrs, Connecticut",1901,2026,120,2848,1834,1014,.644,7.53,1.59,19,28,9,37,7,6
91,Coppin State,"Baltimore, Maryland",1986,2026,41,1239,530,709,.428,-11.87,-7.87,0,11,4,4,0,0
92,Cornell,"Ithaca, New York",1899,2026,127,2871,1356,1515,.472,-7.28,-4.39,0,8,0,5,0,0
93,Cotner College,"Lincoln, Nebraska",1910,1911,2,27,24,3,.889,,,0,0,0,0,0,0
94,Creighton,"Omaha, Nebraska",1912,2026,106,2819,1720,1099,.610,4.70,3.88,7,16,12,26,0,0
95,Cumberland (TN),"Lebanon, Tennessee",1904,1904,1,4,4,0,1.000,,,0,0,0,0,0,0
96,Dakota Wesleyan Tigers,"Mitchell, South Dakota",1932,1932,1,20,19,1,.950,,,0,0,0,0,0,0
97,Dartmouth,"Hanover, New Hampshire",1900,2026,125,2996,1369,1625,.457,-10.63,-4.99,0,12,0,7,2,0
98,Davidson,"Davidson, North Carolina",1909,2026,117,2895,1585,1310,.547,-2.34,-2.55,6,25,13,15,0,0
99,Dayton,"Dayton, Ohio",1904,2026,121,2987,1805,1182,.604,7.17,3.23,9,6,2,19,1,0
100,Delaware,"Newark, Delaware",1906,2026,85,2105,1044,1060,.496,-8.16,-5.76,0,4,6,6,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
101,Delaware State,"Dover, Delaware",1974,2026,53,1532,586,946,.383,-16.82,-9.96,0,3,1,1,0,0
102,Denison Big Red,"Granville, Ohio",1905,1944,24,362,269,93,.743,,,0,0,0,0,0,0
103,Denver,"Denver, Colorado",1904,2026,103,2288,1019,1269,.445,-4.42,-1.01,0,4,0,0,0,0
104,DePaul,"Chicago, Illinois",1924,2026,103,2704,1546,1158,.572,5.95,6.08,12,2,0,22,2,0
105,DePauw Tigers,"Greencastle, Indiana",1916,1932,17,277,182,94,.659,,,0,0,0,0,0,0
106,Detroit Mercy,"Detroit, Michigan",1910,2026,117,2861,1490,1371,.521,-0.55,0.70,2,2,3,6,0,0
107,Dickinson College Red Devils,"Carlisle, Pennsylvania",1926,1947,2,34,30,4,.882,,,0,0,0,0,0,0
108,Drake,"Des Moines, Iowa",1907,2026,120,2963,1414,1549,.477,1.48,2.79,5,10,4,8,1,0
109,Drexel,"Philadelphia, Pennsylvania",1895,2026,56,1566,857,709,.547,-3.35,-4.45,0,7,5,5,0,0
110,Duke,"Durham, North Carolina",1906,2026,121,3302,2367,935,.717,16.69,6.86,53,25,28,47,18,5
111,Duquesne,"Pittsburgh, Pennsylvania",1914,2026,110,2739,1514,1225,.553,2.06,2.00,7,2,2,6,1,0
112,East Carolina,"Greenville, North Carolina",1967,2026,60,1723,759,964,.441,-4.40,-0.90,0,0,2,2,0,0
113,East Central Tigers,"Ada, Oklahoma",1929,1931,3,74,66,8,.892,,,0,0,0,0,0,0
114,East Tennessee State,"Johnson City, Tennessee",1959,2026,68,1966,1078,888,.548,-3.89,-3.46,1,12,10,10,0,0
115,East Texas A&M,"Commerce, Texas",2023,2026,4,129,42,87,.326,-12.25,-4.15,0,0,0,0,0,0
116,Eastern Illinois,"Charleston, Illinois",1982,2026,45,1332,591,741,.444,-8.26,-4.55,0,0,3,2,0,0
117,Eastern Kentucky,"Richmond, Kentucky",1948,2026,76,2078,1026,1052,.494,-4.75,-2.82,0,9,5,8,0,0
118,Eastern Michigan,"Ypsilanti, Michigan",1933,2026,54,1594,738,856,.463,-3.85,-0.56,0,5,4,4,0,0
119,Eastern Washington,"Cheney, Washington",1984,2026,43,1272,574,698,.451,-5.58,-2.27,0,6,3,3,0,0
120,Elon,"Elon, North Carolina",2000,2026,27,831,350,481,.421,-8.25,-3.64,0,2,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
121,Emporia State Hornets,"Emporia, Kansas",1934,1934,1,18,17,1,.944,,,0,0,0,0,0,0
122,Ensign College,"Salt Lake City, Utah",1903,1903,1,16,15,1,.938,,,0,0,0,0,0,0
123,Evansville,"Evansville, Indiana",1925,2026,53,1523,771,752,.506,0.10,0.99,0,6,4,5,0,0
124,Fairfield,"Fairfield, Connecticut",1965,2026,62,1799,874,925,.486,-4.75,-3.29,0,3,3,3,0,0
125,FDU,"Teaneck, New Jersey",1968,2026,59,1678,790,888,.471,-10.29,-7.05,0,6,6,7,0,0
126,Florida,"Gainesville, Florida",1921,2026,105,2780,1588,1191,.571,8.70,5.35,16,7,5,25,6,3
127,Florida A&M,"Tallahassee, Florida",1980,2026,47,1382,529,853,.383,-15.61,-8.73,0,0,4,3,0,0
128,Florida Atlantic,"Boca Raton, Florida",1994,2026,33,1001,425,576,.425,-6.38,-2.60,1,2,2,3,1,0
129,Florida Gulf Coast,"Fort Myers, Florida",2008,2026,19,610,316,294,.518,-3.52,-4.07,0,3,3,3,0,0
130,Florida International,"Miami, Florida",1988,2026,39,1172,472,700,.403,-7.75,-3.04,0,1,1,1,0,0
131,Florida State,"Tallahassee, Florida",1957,2026,70,2078,1224,854,.589,7.66,5.20,12,3,2,18,1,0
132,Fordham,"Bronx, New York",1903,2026,122,3112,1612,1500,.518,-2.72,-0.21,1,4,3,4,0,0
133,Franklin Grizzlies,"Franklin, Indiana",1907,1925,18,221,144,77,.652,,,0,0,0,0,0,0
134,Fresno State,"Fresno, California",1956,2026,59,1787,974,813,.545,2.30,1.89,1,6,5,6,0,0
135,Furman,"Greenville, South Carolina",1920,2026,105,2719,1397,1322,.514,-5.50,-4.05,0,7,8,7,0,0
136,Gardner-Webb,"Boiling Springs, North Carolina",2003,2026,24,754,342,412,.454,-7.95,-4.47,0,1,1,1,0,0
137,Geneva Golden Tornadoes,"Beaver Falls, Pennsylvania",1893,1943,10,125,80,45,.640,,,0,0,0,0,0,0
138,George Mason,"Fairfax, Virginia",1979,2026,48,1454,798,656,.549,-0.57,-1.23,0,5,4,6,1,0
139,George Washington,"Washington, D.C.",1913,2026,109,2710,1448,1262,.534,0.22,-0.10,3,7,5,11,0,0
140,Georgetown,"Washington, D.C.",1907,2026,118,2946,1756,1190,.596,6.64,4.20,20,11,8,31,5,1
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
141,Georgia,"Athens, Georgia",1906,2026,121,2960,1537,1423,.519,4.30,5.15,5,2,3,13,1,0
142,Georgia Southern,"Statesboro, Georgia",1974,2026,53,1571,798,773,.508,-6.66,-4.88,0,7,3,3,0,0
143,Georgia State,"Atlanta, Georgia",1974,2026,53,1557,694,863,.446,-7.00,-3.71,0,8,6,6,0,0
144,Georgia Tech,"Atlanta, Georgia",1920,2026,107,2814,1469,1345,.522,5.55,5.29,8,3,5,17,2,0
145,Gettysburg Bullets,"Gettysburg, Pennsylvania",1901,1973,41,724,385,339,.532,-15.94,-9.75,0,0,0,0,0,0
146,Gonzaga,"Spokane, Washington",1944,2026,75,2242,1507,735,.672,4.88,0.24,18,29,23,27,2,0
147,Grambling,"Grambling, Louisiana",1978,2026,49,1420,556,864,.392,-16.60,-9.23,0,5,1,1,0,0
148,Grand Canyon,"Phoenix, Arizona",2014,2026,13,417,276,141,.662,2.41,-2.53,0,2,4,4,0,0
149,Green Bay,"Green Bay, Wisconsin",1982,2026,45,1376,712,664,.517,-1.95,-1.51,0,4,4,5,0,0
150,Grinnell Pioneers,"Grinnell, Iowa",1901,1939,38,550,280,270,.509,,,0,0,0,0,0,0
151,Grove City Wolverines,"Grove City, Pennsylvania",1899,1925,27,383,257,126,.671,,,0,0,0,0,0,0
152,Hamline Pipers,"St. Paul, Minnesota",1945,1948,4,102,82,20,.804,,,0,0,0,0,0,0
153,Hampton,"Hampton, Virginia",1996,2026,31,960,474,486,.494,-9.53,-8.21,0,4,6,6,0,0
154,Hardin-Simmons Cowboys,"Abilene, Texas",1923,1990,45,1149,481,668,.419,-11.07,-5.69,0,1,0,2,0,0
155,Hartford Hawks,"West Hartford, Connecticut",1985,2023,39,1155,486,669,.421,-9.24,-5.52,0,0,1,1,0,0
156,Harvard,"Boston, Massachusetts",1901,2026,114,2649,1244,1405,.470,-7.88,-4.78,0,7,0,5,0,0
157,Haskell (KS) Fighting Indians,"Lawrence, Kansas",1903,1908,2,39,27,12,.692,,,0,0,0,0,0,0
158,Hawaii,"Honolulu, Hawaii",1971,2026,56,1648,884,764,.536,1.78,1.39,1,3,4,5,0,0
159,High Point,"High Point, North Carolina",2000,2026,27,831,427,404,.514,-7.69,-6.11,0,7,2,1,0,0
160,Hiram Terriers,"Hiram, Ohio",1894,1904,8,59,45,14,.763,,,0,0,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
161,Hofstra,"Hempstead, New York",1943,2026,61,1787,945,842,.529,-5.24,-4.22,0,10,7,4,0,0
162,Holy Cross,"Worcester, Massachusetts",1901,2026,106,2615,1473,1142,.563,-2.93,-4.02,6,6,7,13,2,1
163,Hope Flying Dutchmen,"Holland, Michigan",1908,1913,5,65,44,21,.677,,,0,0,0,0,0,0
164,Houston,"Houston, Texas",1951,2026,76,2288,1435,853,.627,7.19,3.23,15,10,9,26,7,0
165,Houston Christian,"Houston, Texas",1974,2026,34,991,381,610,.384,-12.06,-5.75,0,2,1,1,0,0
166,Howard,"Washington, D.C.",1974,2026,53,1524,615,909,.404,-14.45,-9.53,0,6,5,4,0,0
167,Idaho,"Moscow, Idaho",1906,2026,121,3064,1418,1644,.463,-4.56,-1.31,1,7,5,4,0,0
168,Idaho State,"Pocatello, Idaho",1959,2026,68,1900,826,1074,.435,-6.56,-2.76,0,4,2,5,0,0
169,Illinois,"Champaign, Illinois",1906,2026,121,3035,1951,1084,.643,13.40,7.91,30,18,4,35,5,0
170,Illinois State,"Normal, Illinois",1899,2026,67,1763,1027,736,.583,3.12,1.55,0,6,4,6,0,0
171,Illinois Wesleyan Titans,"Bloomington, Illinois",1928,1928,1,14,13,1,.929,,,0,0,0,0,0,0
172,Illinois-Chicago,"Chicago, Illinois",1982,2026,45,1372,655,717,.477,-3.07,-1.32,0,2,2,3,0,0
173,Incarnate Word,"San Antonio, Texas",2014,2026,13,387,156,231,.403,-12.94,-6.36,0,0,0,0,0,0
174,Indiana,"Bloomington, Indiana",1901,2026,126,3112,1965,1147,.631,13.86,8.28,29,22,0,41,8,5
175,Indiana State,"Terre Haute, Indiana",1900,2026,104,2394,1240,1154,.518,0.00,1.70,1,3,3,4,1,0
176,Iona,"New Rochelle, New York",1954,2026,73,2034,1150,884,.565,-3.92,-3.71,1,13,14,16,0,0
177,Iowa,"Iowa City, Iowa",1893,2026,129,3058,1797,1260,.588,11.62,7.52,21,8,3,29,3,0
178,Iowa State,"Ames, Iowa",1908,2026,119,2927,1509,1418,.516,7.57,6.64,12,6,7,24,1,0
179,IU Indy,"Indianapolis, Indiana",1999,2026,28,861,357,504,.415,-7.52,-3.14,0,1,1,1,0,0
180,Jackson State,"Jackson, Mississippi",1978,2026,49,1476,689,787,.467,-11.27,-8.54,0,7,4,3,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
181,Jacksonville,"Jacksonville, Florida",1967,2026,60,1744,856,888,.491,-4.02,-2.35,2,2,2,5,1,0
182,Jacksonville State,"Jacksonville, Alabama",1996,2026,31,934,425,509,.455,-8.04,-5.74,0,1,1,2,0,0
183,James Madison,"Harrisonburg, Virginia",1977,2026,50,1500,785,715,.523,-2.12,-2.36,0,9,4,6,0,0
184,John Carroll Blue Streaks,"University Heights, Ohio",1948,1955,8,191,80,111,.419,-9.27,-0.20,0,0,0,0,0,0
185,Kalamazoo Hornets,"Kalamazoo, Michigan",1908,1923,16,193,134,59,.694,,,0,0,0,0,0,0
186,Kansas,"Lawrence, Kansas",1899,2026,128,3371,2452,919,.727,16.01,7.55,49,64,16,53,16,4
187,Kansas City,"Kansas City, Missouri",1990,2026,37,1104,465,639,.421,-7.16,-3.27,0,0,0,0,0,0
188,Kansas State,"Manhattan, Kansas",1906,2026,121,3038,1764,1274,.581,10.30,6.55,17,19,2,32,4,0
189,Kennesaw State,"Kennesaw, Georgia",2006,2026,21,649,226,423,.348,-10.60,-3.06,0,1,1,1,0,0
190,Kent State,"Kent, Ohio",1914,2026,107,2630,1335,1295,.508,-1.76,-0.48,0,9,7,7,0,0
191,Kentucky,"Lexington, Kentucky",1903,2026,123,3230,2445,784,.757,17.67,7.01,56,52,33,63,17,8
192,Kentucky Wesleyan Panthers,"Owensboro, Kentucky",1957,1958,2,52,30,22,.577,-4.61,-2.27,0,0,0,0,0,0
193,La Salle,"Philadelphia, Pennsylvania",1932,2026,95,2582,1462,1120,.566,2.31,0.72,6,9,8,12,2,1
194,Lafayette,"Easton, Pennsylvania",1901,2026,116,2810,1417,1393,.504,-8.27,-6.86,0,18,3,4,0,0
195,Lake Forest Foresters,"Lake Forest, Illinois",1905,1916,12,144,89,55,.618,,,0,0,0,0,0,0
196,Lamar,"Beaumont, Texas",1970,2026,57,1671,833,838,.499,-5.31,-4.13,0,9,4,6,0,0
197,Lawrence Tech,"Southfield, Michigan",1948,1948,1,28,22,6,.786,,,0,0,0,0,0,0
198,Le Moyne,"Syracuse, New York",2024,2026,3,96,39,57,.406,-13.25,-9.07,0,0,0,0,0,0
199,Lehigh,"Bethlehem, Pennsylvania",1902,2026,125,2726,1194,1532,.438,-12.75,-7.40,0,4,6,5,0,0
200,Lewis Flyers,"Romeoville, Illinois",1905,1905,1,25,20,5,.800,,,0,0,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
201,Liberty,"Lynchburg, Virginia",1989,2026,38,1186,626,560,.528,-7.52,-6.28,0,9,7,6,0,0
